cluster_id,occupancy,n_structures_occupied,n_structures_total,occupancy_fraction,evo_min_score,evo_mean_score,evo_max_grade,evo_n_residues,evo_n_low_confidence,evo_n_unscored
74,3,3,22,0.1364,0.565,0.565,4,1,0,0
75,2,2,22,0.0909,1.446,1.6415,3,2,0,0
76,9,9,22,0.4091,-1.225,0.3075,9,4,0,0
77,9,9,22,0.4091,-1.225,0.3075,9,4,0,0
78,4,4,22,0.1818,1.414,1.414,3,1,0,0
79,2,2,22,0.0909,-1.152,-0.222,9,2,0,0
80,3,3,22,0.1364,NA,NA,NA,0,0,0
81,14,14,22,0.6364,-1.061,-1.061,9,1,0,0
82,2,2,22,0.0909,0.34,0.34,4,1,0,0
83,4,4,22,0.1818,NA,NA,NA,0,0,0
84,3,3,22,0.1364,-0.243,-0.0315,6,2,0,0
85,2,2,22,0.0909,0.34,0.34,4,1,0,0
86,2,2,22,0.0909,NA,NA,NA,0,0,0
87,3,3,22,0.1364,1.122,1.122,3,1,0,0
88,2,2,22,0.0909,-0.157,0.0915,6,2,0,0
89,2,2,22,0.0909,0.565,0.565,4,1,0,2
90,5,5,22,0.2273,NA,NA,NA,0,0,0
91,5,5,22,0.2273,NA,NA,NA,0,0,0
92,2,1,22,0.0455,NA,NA,NA,0,0,0
93,2,2,22,0.0909,1.446,1.446,3,1,0,0
94,3,3,22,0.1364,0.565,1.201,4,2,0,0
95,6,6,22,0.2727,0.394,0.394,4,1,0,0
96,4,4,22,0.1818,-0.649,-0.649,7,1,0,0
97,2,2,22,0.0909,NA,NA,NA,0,0,0
98,3,3,22,0.1364,1.446,1.446,3,1,0,0
99,7,7,22,0.3182,-0.113,0.688,5,3,0,0
100,6,6,22,0.2727,0.111,0.111,5,1,0,0
101,8,8,22,0.3636,-0.113,-0.113,5,1,0,0
102,9,9,22,0.4091,-0.113,-0.113,5,1,0,0
103,3,3,22,0.1364,-0.628,-0.628,7,1,0,0
104,4,4,22,0.1818,0.25,0.25,5,1,0,0
105,4,4,22,0.1818,0.25,0.25,5,1,0,0
106,4,4,22,0.1818,1.122,1.2655,3,2,0,0
107,2,2,22,0.0909,1.446,1.446,3,1,0,0
108,2,2,22,0.0909,NA,NA,NA,0,0,0
109,8,8,22,0.3636,-0.502,0.4527,7,3,0,0
110,2,2,22,0.0909,NA,NA,NA,0,0,0
111,15,15,22,0.6818,0.766,0.766,4,1,0,0
112,4,4,22,0.1818,NA,NA,NA,0,0,0
113,4,4,22,0.1818,0.766,0.766,4,1,0,0
114,5,5,22,0.2273,-0.628,0.069,7,2,0,0
115,22,22,22,1.0,-0.79,-0.2692,8,4,0,0
116,3,3,22,0.1364,0.875,1.142,4,2,0,0
117,11,11,22,0.5,-0.272,0.6707,6,3,0,0
118,9,8,22,0.3636,-0.502,0.4527,7,3,0,0
119,8,8,22,0.3636,-0.502,0.4527,7,3,0,0
120,3,3,22,0.1364,NA,NA,NA,0,0,0
121,7,7,22,0.3182,-0.79,-0.012,8,2,0,0
122,22,22,22,1.0,-0.79,-0.2692,8,4,0,0
123,2,2,22,0.0909,-0.63,0.966,7,2,0,0
124,2,2,22,0.0909,-0.63,-0.63,7,1,0,0
125,10,10,22,0.4545,1.409,1.409,3,1,0,0
126,6,6,22,0.2727,0.394,0.394,4,1,0,0
127,7,7,22,0.3182,0.394,0.394,4,1,0,0
128,22,22,22,1.0,-0.79,-0.2692,8,4,0,0
129,5,5,22,0.2273,NA,NA,NA,0,0,0
130,2,2,22,0.0909,-0.63,-0.63,7,1,0,0
131,3,3,22,0.1364,-0.63,-0.63,7,1,0,0
132,4,4,22,0.1818,-0.63,-0.63,7,1,0,0
133,4,4,22,0.1818,-0.63,-0.63,7,1,0,0
134,11,11,22,0.5,1.409,1.409,3,1,0,0
135,11,11,22,0.5,1.409,1.409,3,1,0,0
136,13,13,22,0.5909,-0.828,0.5045,8,2,0,0
137,13,13,22,0.5909,-0.828,0.5045,8,2,0,0
138,22,22,22,1.0,-0.79,-0.2692,8,4,0,0
139,22,22,22,1.0,-0.79,-0.2692,8,4,0,0
140,2,2,22,0.0909,NA,NA,NA,0,0,0
141,2,2,22,0.0909,NA,NA,NA,0,0,0
142,6,6,22,0.2727,0.766,0.766,4,1,0,0
143,21,21,22,0.9545,-0.648,-0.266,7,2,0,0
144,15,15,22,0.6818,-0.828,0.5045,8,2,0,0
145,15,15,22,0.6818,-0.828,0.5045,8,2,0,0
146,3,3,22,0.1364,1.096,1.096,3,1,0,0
147,3,3,22,0.1364,NA,NA,NA,0,0,0
148,11,11,22,0.5,-0.243,-0.243,6,1,0,0
149,2,2,22,0.0909,NA,NA,NA,0,0,0
150,14,14,22,0.6364,1.767,1.767,2,1,0,0
151,4,4,22,0.1818,-1.225,-1.225,9,1,0,0
152,5,5,22,0.2273,-0.63,-0.63,7,1,0,0
153,5,5,22,0.2273,-0.63,-0.63,7,1,0,0
154,2,2,22,0.0909,0.318,0.318,4,1,0,0
155,2,2,22,0.0909,1.096,1.096,3,1,0,0
156,3,3,22,0.1364,NA,NA,NA,0,0,0
157,2,2,22,0.0909,2.161,2.161,1,1,0,0
158,2,2,22,0.0909,2.161,2.161,1,1,0,0
159,16,16,22,0.7273,1.767,1.767,2,1,0,0
160,3,3,22,0.1364,NA,NA,NA,0,0,0
161,5,5,22,0.2273,0.332,0.332,4,1,0,0
162,2,2,22,0.0909,NA,NA,NA,0,0,0
163,3,3,22,0.1364,0.766,0.766,4,1,0,0
164,13,13,22,0.5909,0.766,0.766,4,1,0,0
165,2,2,22,0.0909,NA,NA,NA,0,0,0
166,17,17,22,0.7727,-0.19,0.1095,6,2,0,0
167,4,4,22,0.1818,0.22,0.22,5,1,0,0
168,17,17,22,0.7727,1.767,1.767,2,1,0,0
169,17,17,22,0.7727,1.767,1.767,2,1,0,0
170,2,2,22,0.0909,0.296,0.296,5,1,0,0
171,2,2,22,0.0909,-0.473,-0.0705,7,2,0,0
172,2,2,22,0.0909,0.332,0.332,4,1,0,0
173,1,1,22,0.0455,NA,NA,NA,0,0,0
174,6,6,22,0.2727,-0.19,-0.19,6,1,0,0
175,3,3,22,0.1364,0.296,0.696,5,2,0,0
176,2,2,22,0.0909,0.296,0.296,5,1,0,0
177,2,2,22,0.0909,NA,NA,NA,0,0,0
178,5,5,22,0.2273,-0.391,0.5953,6,3,0,0
179,17,17,22,0.7727,-0.19,0.1095,6,2,0,0
180,2,2,22,0.0909,0.25,0.25,5,1,0,0
181,2,2,22,0.0909,2.075,2.075,2,1,0,0
182,8,8,22,0.3636,2.709,2.709,1,1,0,0
183,11,11,22,0.5,0.89,1.5523,4,3,0,0
184,3,3,22,0.1364,-0.072,-0.072,5,1,0,0
185,5,5,22,0.2273,-0.072,-0.072,5,1,0,0
186,2,2,22,0.0909,NA,NA,NA,0,0,0
187,9,9,22,0.4091,-1.054,1.4057,9,3,0,0
188,22,22,22,1.0,-0.959,-0.4393,8,3,0,0
189,3,3,22,0.1364,NA,NA,NA,0,0,0
190,7,6,22,0.2727,-0.649,0.1205,7,2,0,0
191,3,3,22,0.1364,1.837,1.837,2,1,0,0
192,2,2,22,0.0909,1.837,1.837,2,1,0,0
193,17,17,22,0.7727,-0.19,0.1095,6,2,0,0
194,17,17,22,0.7727,-0.19,0.1095,6,2,0,0
195,14,14,22,0.6364,-0.142,0.0283,6,3,0,0
196,8,8,22,0.3636,2.709,2.709,1,1,0,0
197,8,8,22,0.3636,2.709,2.709,1,1,0,0
198,7,7,22,0.3182,NA,NA,NA,0,0,0
199,7,7,22,0.3182,NA,NA,NA,0,0,0
200,13,13,22,0.5909,-1.225,-0.1675,9,2,0,0
201,8,8,22,0.3636,1.096,1.096,3,1,0,0
202,9,9,22,0.4091,0.875,0.875,4,1,0,0
203,3,3,22,0.1364,NA,NA,NA,0,0,0
204,2,2,22,0.0909,-1.087,-1.087,9,1,0,0
205,3,3,22,0.1364,-0.096,-0.096,5,1,0,0
206,4,4,22,0.1818,NA,NA,NA,0,0,0
207,9,9,22,0.4091,-0.272,0.5685,6,2,0,0
208,3,3,22,0.1364,NA,NA,NA,0,0,0
209,18,18,22,0.8182,-0.473,0.2085,7,2,0,0
210,5,5,22,0.2273,NA,NA,NA,0,0,0
211,5,5,22,0.2273,NA,NA,NA,0,0,0
212,22,22,22,1.0,-1.248,-1.2285,9,2,0,0
213,4,4,22,0.1818,NA,NA,NA,0,0,0
214,2,2,22,0.0909,NA,NA,NA,0,0,0
215,3,3,22,0.1364,-0.096,-0.096,5,1,0,0
216,3,3,22,0.1364,-0.702,-0.018,7,2,0,0
217,9,9,22,0.4091,-0.272,0.5685,6,2,0,0
218,8,8,22,0.3636,1.409,1.409,3,1,0,0
219,15,15,22,0.6818,-1.054,1.4057,9,3,0,0
220,22,22,22,1.0,-0.959,-0.4393,8,3,0,0
221,8,8,22,0.3636,-0.053,0.462,5,3,0,0
222,13,13,22,0.5909,-0.391,-0.2315,6,2,0,0
223,3,3,22,0.1364,NA,NA,NA,0,0,0
224,2,2,22,0.0909,0.096,0.096,5,1,0,0
225,6,6,22,0.2727,-1.159,1.1593,9,3,0,0
226,7,7,22,0.3182,-1.159,1.1593,9,3,0,0
227,15,15,22,0.6818,-1.054,1.4057,9,3,0,0
228,14,14,22,0.6364,-1.054,1.4057,9,3,0,0
229,22,22,22,1.0,-0.959,-0.4393,8,3,0,0
230,2,2,22,0.0909,NA,NA,NA,0,0,0
231,2,2,22,0.0909,0.332,0.332,4,1,0,0
232,10,10,22,0.4545,-0.157,-0.157,6,1,0,0
233,12,12,22,0.5455,-1.087,0.043,9,2,0,0
234,15,14,22,0.6364,0.15,0.15,5,1,0,0
235,5,5,22,0.2273,0.666,0.666,4,1,0,0
236,5,5,22,0.2273,0.096,0.096,5,1,0,0
237,4,4,22,0.1818,NA,NA,NA,0,0,0
238,3,3,22,0.1364,-0.473,0.2085,7,2,0,0
239,18,18,22,0.8182,-1.225,-1.225,9,1,0,0
240,14,14,22,0.6364,NA,NA,NA,0,0,0
241,13,13,22,0.5909,-0.391,-0.2315,6,2,0,0
242,13,13,22,0.5909,-0.391,-0.2315,6,2,0,0
243,5,5,22,0.2273,NA,NA,NA,0,0,0
244,4,4,22,0.1818,1.342,1.342,3,1,0,0
245,2,2,22,0.0909,0.565,0.565,4,1,0,0
246,3,3,22,0.1364,0.666,0.666,4,1,0,0
247,2,2,22,0.0909,0.666,0.666,4,1,0,0
248,13,13,22,0.5909,-0.702,-0.702,7,1,0,0
249,7,7,22,0.3182,-0.702,0.6865,7,2,0,0
250,5,5,22,0.2273,-0.702,-0.702,7,1,0,0
251,15,15,22,0.6818,NA,NA,NA,0,0,0
252,3,3,22,0.1364,NA,NA,NA,0,0,0
253,3,3,22,0.1364,NA,NA,NA,0,0,0
254,2,2,22,0.0909,NA,NA,NA,0,0,0
255,11,11,22,0.5,-0.272,0.0685,6,2,0,0
256,3,3,22,0.1364,NA,NA,NA,0,0,0
257,3,3,22,0.1364,NA,NA,NA,0,0,0
258,18,18,22,0.8182,-1.225,-1.225,9,1,0,0
259,18,18,22,0.8182,-1.25,-0.8205,9,2,0,0
260,3,3,22,0.1364,NA,NA,NA,0,0,0
261,4,4,22,0.1818,-0.702,-0.303,7,2,0,0
262,9,9,22,0.4091,0.708,0.708,4,1,0,0
263,8,8,22,0.3636,0.708,0.708,4,1,0,0
264,5,5,22,0.2273,0.409,0.5375,4,2,0,0
265,5,5,22,0.2273,0.409,0.5375,4,2,0,0
266,3,3,22,0.1364,NA,NA,NA,0,0,0
267,18,18,22,0.8182,-0.473,0.2085,7,2,0,0
268,18,18,22,0.8182,-0.473,0.2085,7,2,0,0
269,22,22,22,1.0,-0.959,-0.4393,8,3,0,0
270,14,14,22,0.6364,NA,NA,NA,0,0,0
271,2,2,22,0.0909,NA,NA,NA,0,0,0
272,4,4,22,0.1818,0.111,0.6505,5,2,0,0
273,5,5,22,0.2273,0.111,0.6505,5,2,0,0
274,8,8,22,0.3636,-1.225,-1.225,9,1,0,0
275,8,8,22,0.3636,-1.225,-1.225,9,1,0,0
276,22,22,22,1.0,-0.694,-0.4363,7,3,0,0
277,21,21,22,0.9545,-0.113,0.5697,5,3,0,0
278,6,6,22,0.2727,NA,NA,NA,0,0,0
279,3,3,22,0.1364,NA,NA,NA,0,0,0
280,17,17,22,0.7727,-0.702,-0.303,7,2,0,0
281,8,8,22,0.3636,0.409,0.409,4,1,0,0
282,8,8,22,0.3636,0.409,0.409,4,1,0,0
283,3,3,22,0.1364,0.409,0.409,4,1,0,0
284,15,15,22,0.6818,NA,NA,NA,0,0,0
285,15,15,22,0.6818,NA,NA,NA,0,0,0
286,2,2,22,0.0909,-0.649,-0.649,7,1,0,0
287,6,6,22,0.2727,-0.649,-0.649,7,1,0,0
288,12,12,22,0.5455,-0.507,0.032,7,3,0,0
289,8,8,22,0.3636,-0.272,-0.272,6,1,0,0
290,10,10,22,0.4545,-0.272,-0.272,6,1,0,1
291,4,4,22,0.1818,0.409,0.409,4,1,0,1
292,2,2,22,0.0909,NA,NA,NA,0,0,0
293,14,14,22,0.6364,NA,NA,NA,0,0,0
294,14,14,22,0.6364,NA,NA,NA,0,0,0
295,21,21,22,0.9545,-1.072,-1.072,9,1,0,0
296,21,21,22,0.9545,-1.072,-1.072,9,1,0,0
297,21,21,22,0.9545,-1.072,-1.072,9,1,0,0
298,22,22,22,1.0,-1.209,-1.161,9,3,0,0
299,22,22,22,1.0,-0.694,-0.4363,7,3,0,0
300,2,2,22,0.0909,-0.221,-0.221,6,1,0,0
301,22,22,22,1.0,-0.959,-0.4393,8,3,0,0
302,22,22,22,1.0,-0.959,-0.4393,8,3,0,0
303,3,3,22,0.1364,-0.473,-0.473,7,1,0,0
304,12,12,22,0.5455,-0.507,0.032,7,3,0,0
305,5,5,22,0.2273,-0.649,1.011,7,2,0,0
306,4,4,22,0.1818,-0.473,1.099,7,2,0,0
307,3,3,22,0.1364,-0.053,-0.053,5,1,0,0
308,2,2,22,0.0909,1.342,1.342,3,1,0,0
309,2,2,22,0.0909,NA,NA,NA,0,0,0
310,6,6,22,0.2727,-1.087,-1.087,9,1,0,0
311,6,6,22,0.2727,-1.087,-1.087,9,1,0,0
312,22,22,22,1.0,-0.694,-0.4363,7,3,0,0
313,23,22,22,1.0,-0.785,-0.503,8,2,0,0
314,4,4,22,0.1818,1.482,1.482,3,1,0,0
315,4,4,22,0.1818,NA,NA,NA,0,0,0
316,4,4,22,0.1818,NA,NA,NA,0,0,0
317,8,8,22,0.3636,1.409,1.409,3,1,0,0
318,4,4,22,0.1818,1.409,1.409,3,1,0,0
319,13,13,22,0.5909,-0.702,-0.702,7,1,0,0
320,7,7,22,0.3182,0.409,0.409,4,1,0,0
321,12,12,22,0.5455,-0.507,0.032,7,3,0,0
322,12,12,22,0.5455,-0.507,0.032,7,3,0,0
323,15,15,22,0.6818,-0.649,-0.2107,7,4,0,0
324,3,3,22,0.1364,-0.053,-0.053,5,1,0,0
325,18,18,22,0.8182,-1.225,-1.225,9,1,0,0
326,18,18,22,0.8182,-1.225,-1.225,9,1,0,0
327,3,3,22,0.1364,NA,NA,NA,0,0,0
328,22,22,22,1.0,-0.694,-0.4363,7,3,0,0
329,3,3,22,0.1364,NA,NA,NA,0,0,0
330,5,5,22,0.2273,NA,NA,NA,0,0,1
331,3,3,22,0.1364,NA,NA,NA,0,0,0
332,18,18,22,0.8182,-0.702,-0.702,7,1,0,0
333,7,7,22,0.3182,0.409,0.409,4,1,0,0
334,7,7,22,0.3182,0.409,0.409,4,1,0,0
335,5,5,22,0.2273,-0.473,1.118,7,2,0,0
336,6,6,22,0.2727,-0.473,1.118,7,2,0,0
337,3,3,22,0.1364,-0.507,-0.507,7,1,0,0
338,20,20,22,0.9091,-1.031,0.1555,9,2,0,0
339,12,12,22,0.5455,-1.187,0.0775,9,2,0,0
340,7,7,22,0.3182,NA,NA,NA,0,0,0
341,18,18,22,0.8182,-1.25,-0.8205,9,2,0,0
342,8,8,22,0.3636,NA,NA,NA,0,0,0
343,7,7,22,0.3182,NA,NA,NA,0,0,0
344,2,2,22,0.0909,NA,NA,NA,0,0,0
345,2,2,22,0.0909,2.161,2.161,1,1,0,0
346,2,2,22,0.0909,NA,NA,NA,0,0,0
347,8,8,22,0.3636,-0.113,0.6845,5,2,0,0
348,3,3,22,0.1364,NA,NA,NA,0,0,0
349,6,6,22,0.2727,1.187,1.187,3,1,0,0
350,6,6,22,0.2727,1.187,1.187,3,1,0,0
351,20,20,22,0.9091,0.854,1.1315,4,2,0,0
352,5,5,22,0.2273,1.122,1.2655,3,2,0,0
353,3,3,22,0.1364,0.111,0.111,5,1,0,0
354,18,18,22,0.8182,-0.702,-0.702,7,1,0,0
355,18,18,22,0.8182,-0.702,-0.702,7,1,0,0
356,11,11,22,0.5,-0.473,0.6587,7,3,0,0
357,22,22,22,1.0,-0.479,-0.479,7,1,0,0
358,8,8,22,0.3636,1.19,1.19,3,1,0,0
359,8,8,22,0.3636,1.19,1.19,3,1,0,0
360,18,18,22,0.8182,-1.25,-0.8205,9,2,0,0
361,3,3,22,0.1364,NA,NA,NA,0,0,0
362,3,3,22,0.1364,-0.072,-0.072,5,1,0,0
363,6,6,22,0.2727,-0.072,-0.072,5,1,0,0
364,7,7,22,0.3182,-0.072,-0.072,5,1,0,0
365,6,6,22,0.2727,-0.072,-0.072,5,1,0,0
366,3,3,22,0.1364,NA,NA,NA,0,0,0
367,2,2,22,0.0909,NA,NA,NA,0,0,0
368,17,17,22,0.7727,-1.209,-0.018,9,2,0,0
369,17,17,22,0.7727,-1.209,-0.018,9,2,0,0
370,22,22,22,1.0,-0.694,-0.4363,7,3,0,0
371,7,7,22,0.3182,-0.113,-0.113,5,1,0,0
372,7,7,22,0.3182,-0.113,-0.113,5,1,0,0
373,20,20,22,0.9091,-1.039,0.0813,9,3,0,0
374,8,8,22,0.3636,-1.152,-0.4943,9,3,0,0
375,16,16,22,0.7273,-0.096,0.285,5,2,0,0
376,16,16,22,0.7273,-0.096,0.285,5,2,0,0
377,9,9,22,0.4091,-0.221,0.172,6,2,0,1
378,7,7,22,0.3182,-0.221,0.172,6,2,0,1
379,5,5,22,0.2273,NA,NA,NA,0,0,0
380,6,6,22,0.2727,0.854,0.854,4,1,0,0
381,21,21,22,0.9545,-1.072,-1.072,9,1,0,0
382,21,21,22,0.9545,-1.072,-1.072,9,1,0,0
383,7,7,22,0.3182,NA,NA,NA,0,0,0
384,22,22,22,1.0,-1.209,-1.161,9,3,0,0
385,22,22,22,1.0,-1.209,-1.161,9,3,0,0
386,22,22,22,1.0,-1.209,-1.161,9,3,0,0
387,22,22,22,1.0,-0.694,-0.4363,7,3,0,0
388,23,22,22,1.0,-0.785,-0.503,8,2,0,0
389,2,2,22,0.0909,NA,NA,NA,0,0,0
390,7,7,22,0.3182,0.708,0.708,4,1,0,0
391,3,3,22,0.1364,0.708,0.708,4,1,0,0
392,9,9,22,0.4091,-0.096,-0.096,5,1,0,0
393,5,5,22,0.2273,0.111,0.111,5,1,0,0
394,4,4,22,0.1818,0.111,0.111,5,1,0,0
395,13,13,22,0.5909,0.347,0.347,4,1,0,0
396,7,7,22,0.3182,NA,NA,NA,0,0,0
397,7,7,22,0.3182,NA,NA,NA,0,0,0
398,3,3,22,0.1364,1.767,1.767,2,1,0,0
399,2,2,22,0.0909,NA,NA,NA,0,0,0
400,2,2,22,0.0909,-1.152,-0.222,9,2,0,0
401,22,22,22,1.0,-1.209,-1.161,9,3,0,0
402,22,22,22,1.0,-0.694,-0.4363,7,3,0,0
403,22,22,22,1.0,-0.694,-0.4363,7,3,0,0
404,17,17,22,0.7727,-0.648,-0.2385,7,2,0,0
405,20,20,22,0.9091,-0.243,0.6195,6,2,0,0
406,3,3,22,0.1364,0.183,0.183,5,1,0,0
407,8,8,22,0.3636,1.187,1.187,3,1,0,0
408,6,6,22,0.2727,0.25,0.25,5,1,0,0
409,7,7,22,0.3182,-0.272,-0.011,6,2,0,0
410,4,4,22,0.1818,-0.272,-0.011,6,2,0,0
411,2,2,22,0.0909,NA,NA,NA,0,0,0
412,12,12,22,0.5455,NA,NA,NA,0,0,0
413,13,13,22,0.5909,0.347,0.347,4,1,0,0
414,15,15,22,0.6818,-0.072,-0.072,5,1,0,0
415,22,22,22,1.0,-1.209,-1.161,9,3,0,0
416,22,22,22,1.0,-1.209,-1.161,9,3,0,0
417,2,2,22,0.0909,-0.221,-0.221,6,1,0,0
418,10,10,22,0.4545,-0.214,-0.214,6,1,0,0
419,12,12,22,0.5455,-1.039,0.0813,9,3,0,0
420,12,12,22,0.5455,-1.039,-1.039,9,1,0,0
421,9,9,22,0.4091,0.25,0.25,5,1,0,0
422,8,8,22,0.3636,0.25,0.25,5,1,0,0
423,12,12,22,0.5455,-0.221,0.1647,6,3,0,0
424,10,10,22,0.4545,1.409,1.409,3,1,0,0
425,10,10,22,0.4545,1.409,1.409,3,1,0,0
426,5,5,22,0.2273,-0.053,-0.053,5,1,0,0
427,12,12,22,0.5455,NA,NA,NA,0,0,0
428,12,12,22,0.5455,NA,NA,NA,0,0,0
429,18,18,22,0.8182,-1.25,-0.8205,9,2,0,0
430,18,18,22,0.8182,-1.25,-0.8205,9,2,0,0
431,13,13,22,0.5909,0.347,0.347,4,1,0,0
432,14,14,22,0.6364,-0.072,-0.072,5,1,0,0
433,7,7,22,0.3182,NA,NA,NA,0,0,0
434,7,7,22,0.3182,NA,NA,NA,0,0,0
435,4,4,22,0.1818,0.394,0.394,4,1,0,0
436,17,17,22,0.7727,-1.209,-0.018,9,2,0,0
437,17,17,22,0.7727,-1.209,-0.018,9,2,0,0
438,15,15,22,0.6818,-0.648,-0.4345,7,2,0,0
439,20,20,22,0.9091,-0.243,0.6195,6,2,0,0
440,20,20,22,0.9091,-0.243,0.6195,6,2,0,0
441,9,9,22,0.4091,-0.214,-0.214,6,1,0,0
442,2,2,22,0.0909,0.25,0.25,5,1,0,0
443,20,20,22,0.9091,0.116,0.183,5,2,0,0
444,21,21,22,0.9545,-0.479,0.4793,7,4,0,0
445,13,13,22,0.5909,0.347,0.347,4,1,0,0
446,13,13,22,0.5909,0.347,0.347,4,1,0,0
447,15,15,22,0.6818,-0.072,-0.072,5,1,0,0
448,15,15,22,0.6818,-0.072,-0.072,5,1,0,0
449,2,2,22,0.0909,1.208,1.208,3,1,0,0
450,2,2,22,0.0909,1.208,1.208,3,1,0,0
451,20,20,22,0.9091,-0.243,0.6195,6,2,0,0
452,20,20,22,0.9091,-0.243,0.6195,6,2,0,0
453,6,6,22,0.2727,0.183,0.685,5,2,0,0
454,6,6,22,0.2727,0.183,0.685,5,2,0,0
455,20,20,22,0.9091,-0.214,0.3853,6,3,0,0
456,6,6,22,0.2727,NA,NA,NA,0,0,0
457,2,2,22,0.0909,NA,NA,NA,0,0,0
458,21,21,22,0.9545,-1.087,0.34,9,2,0,0
459,9,9,22,0.4091,-1.152,-1.152,9,1,0,0
460,23,22,22,1.0,-0.785,-0.503,8,2,0,0
461,16,16,22,0.7273,-0.648,-0.4345,7,2,0,0
462,16,16,22,0.7273,-0.648,-0.4345,7,2,0,0
463,4,4,22,0.1818,NA,NA,NA,0,0,0
464,2,2,22,0.0909,NA,NA,NA,0,0,0
465,20,20,22,0.9091,-0.214,0.3853,6,3,0,0
